"email","password","name","shoppingPreference","dateOfBirth","privacyTermsAgreed","createdAt","phoneNumber"
"Amelia_Lee_415@dsfclimatecool.com","Ge0vxyM8","Amelia Lee","MENS","25/10/1952",true,"2023-08-09T15:40:24.332Z","+15854418347"
"Alexander_Taylor_992@dsfclimatecool.com","Jy9JKOkY","Alexander Taylor","MENS","05/05/1994",true,"2023-08-09T15:40:56.565Z","+12203455157"
"Sophia_Jones_521@dsfclimatecool.com","Qn0mQT5N","Sophia Jones","MENS","09/08/1965",true,"2023-08-09T15:41:02.920Z","+19098939492"
"Olivia_Anderson_491@dsfclimatecool.com","Uk1OVEi4","Olivia Anderson","MENS","05/08/1951",true,"2023-08-09T15:43:43.236Z","+12314626854"
"Noah_Thomas_385@dsfclimatecool.com","Cl6BvBJp","Noah Thomas","MENS","16/06/1963",true,"2023-08-09T15:50:36.035Z","+17744084035"
"Liam_Thomas_980@dsfclimatecool.com","Jo9n2zPA","Liam Thomas","MENS","25/02/1956",true,"2023-08-09T15:50:36.061Z","+16097229793"
"Liam_Brown_487@dsfclimatecool.com","Xy2hdB3Q","Liam Brown","MENS","13/02/1970",true,"2023-08-09T15:51:11.391Z","+13863557311"
"Harper_Wilson_536@dsfclimatecool.com","Us4ptW33","Harper Wilson","MENS","09/04/1970",true,"2023-08-09T15:51:11.840Z","+12695199532"
"Ethan_Smith_494@dsfclimatecool.com","Li0DYVgN","Ethan Smith","MENS","16/02/1962",true,"2023-08-09T15:52:32.976Z","+16675294856"
"Alexander_Davis_295@dsfclimatecool.com","Gr6dCHda","Alexander Davis","MENS","03/03/1976",true,"2023-08-09T16:09:37.735Z","+18654247666"
"Alexander_Brown_671@dsfclimatecool.com","Nk8LxkFI","Alexander Brown","MENS","17/12/1994",true,"2023-08-09T16:09:43.861Z","+17743859332"
"Emma_Anderson_623@dsfclimatecool.com","Lk3z4xQr","Emma Anderson","MENS","25/05/1999",true,"2023-08-09T16:10:00.519Z","+17244849756"
"Noah_Lee_863@dsfclimatecool.com","Bk3Ru6WO","Noah Lee","MENS","25/06/1951",true,"2023-08-09T16:10:10.270Z","+12409393987"
"Elijah_Anderson_200@dsfclimatecool.com","Rb8dZSR0","Elijah Anderson","MENS","22/03/1958",true,"2023-08-09T16:10:23.900Z","+13319999406"
"Liam_Davis_361@dsfclimatecool.com","Ax4znp0o","Liam Davis","MENS","30/08/1983",true,"2023-08-09T16:11:46.567Z","+19342275876"
"Noah_Miller_088@dsfclimatecool.com","Tz7T2TsJ","Noah Miller","MENS","06/09/1982",true,"2023-08-10T06:38:36.347Z","+14043849824"
"Amelia_Davis_442@dsfclimatecool.com","Mh9UVF0N","Amelia Davis","MENS","26/06/1974",true,"2023-08-10T06:38:44.728Z","+16078785707"
"Olivia_Garcia_121@dsfclimatecool.com","No2BFowP","Olivia Garcia","MENS","03/04/1990",true,"2023-08-10T06:38:47.476Z","+17754385953"
"Ava_Williams_504@dsfclimatecool.com","Fi268RuA","Ava Williams","MENS","23/03/1969",true,"2023-08-10T06:50:36.538Z","+18312680064"
"Aiden_Wilson_851@dsfclimatecool.com","Wp6ENits","Aiden Wilson","MENS","23/01/1974",true,"2023-08-10T06:50:38.001Z","+18722812254"
"Benjamin_Brown_041@dsfclimatecool.com","Do6Mayyd","Benjamin Brown","MENS","18/10/2000",true,"2023-08-10T06:50:38.472Z","+16602428538"
"Oliver_Thomas_060@dsfclimatecool.com","Wx6zKCFJ","Oliver Thomas","MENS","28/02/1952",true,"2023-08-10T06:50:40.988Z","+19179939770"
"Jackson_Jackson_406@dsfclimatecool.com","Ww4OB7rC","Jackson Jackson","MENS","22/07/1963",true,"2023-08-10T06:53:22.215Z","+18384686363"
"Olivia_Miller_622@dsfclimatecool.com","Yq8NMwPB","Olivia Miller","MENS","30/05/1974",true,"2023-08-10T07:00:00.567Z","+17749294324"
"Ava_Wilson_308@dsfclimatecool.com","Vl4dYttw","Ava Wilson","MENS","12/05/1973",true,"2023-08-10T07:00:02.440Z","+17322777366"
"Benjamin_Martinez_512@dsfclimatecool.com","Jf9CMLJE","Benjamin Martinez","MENS","21/02/1992",true,"2023-08-10T07:00:09.991Z","+17188255149"
"Charlotte_Smith_130@dsfclimatecool.com","Wa1c8NpV","Charlotte Smith","MENS","15/05/1977",true,"2023-08-10T07:00:14.818Z","+15592737235"
"Aiden_Wilson_746@dsfclimatecool.com","Ki3eOiOT","Aiden Wilson","MENS","01/08/2002",true,"2023-08-10T07:00:36.458Z","+15626363809"
"Ethan_Jones_130@dsfclimatecool.com","Ly49el2g","Ethan Jones","MENS","16/12/1985",true,"2023-08-10T07:10:35.563Z","+14784792642"
"Elijah_White_223@dsfclimatecool.com","Lw4W9gNK","Elijah White","MENS","19/12/1998",true,"2023-08-10T07:10:37.334Z","+17825208648"
"Benjamin_Williams_324@dsfclimatecool.com","Dd6i0Byy","Benjamin Williams","MENS","27/12/1998",true,"2023-08-10T07:10:38.833Z","+17192939814"
"Ethan_Williams_881@dsfclimatecool.com","Yp0bQ4sA","Ethan Williams","MENS","16/10/2002",true,"2023-08-10T07:10:41.242Z","+13312680048"
"Liam_Jones_472@dsfclimatecool.com","Zy5JTr2H","Liam Jones","MENS","19/12/1952",true,"2023-08-10T07:12:24.474Z","+17623352589"
"Harper_Miller_672@dsfclimatecool.com","It5KLiXE","Harper Miller","MENS","12/10/1953",true,"2023-08-10T07:21:08.745Z","+12208421683"
"Lucas_Wilson_466@dsfclimatecool.com","Yi7bpyQj","Lucas Wilson","MENS","07/06/1982",true,"2023-08-10T07:38:03.991Z","+13185691966"
"Ethan_Garcia_389@dsfclimatecool.com","Rn1jgvh8","Ethan Garcia","MENS","29/07/1996",true,"2023-08-10T07:48:04.244Z","+13374552318"
"Olivia_Thomas_184@dsfclimatecool.com","Es9dpJxj","Olivia Thomas","MENS","01/02/1995",true,"2023-08-10T08:16:17.800Z","+18633170199"
"Tyler_Louis_913@dsfclimatecool.com","Zx0stdCE","Tyler Louis","MENS","17/11/1985",true,"2023-08-10T09:31:48.993Z","+19124700225"
"Joel_Gross_491@dsfclimatecool.com","Wj3Uu5ua","Joel Gross","MENS","24/02/1954",true,"2023-08-10T09:32:20.593Z","+13526737138"
"Irene_Herrmann_824@dsfclimatecool.com","Tk99uzbe","Irene Herrmann","MENS","30/05/1980",true,"2023-08-10T10:13:50.567Z","+17792971948"
"Olivia_Humphries_038@dsfclimatecool.com","Sq3ty6Fs","Olivia Humphries","MENS","12/04/1959",true,"2023-08-10T10:28:54.009Z","+12342572365"
"Walter_Pellegrini_778@dsfclimatecool.com","Tc1ZDZY5","Walter Pellegrini","MENS","08/06/1979",true,"2023-08-10T10:29:11.792Z","+15304041033"
"Rosalie_Consigli_119@dsfclimatecool.com","Ih5FmiS1","Rosalie Consigli","MENS","27/08/1959",true,"2023-08-10T10:29:11.990Z","+19382343546"
"Edna_Reynaud_260@dsfclimatecool.com","Oz88qUaR","Edna Reynaud","MENS","22/07/1977",true,"2023-08-10T10:29:57.994Z","+15173486379"
"Victoria_Chiesi_044@dsfclimatecool.com","Hg8OTOTX","Victoria Chiesi","MENS","26/12/1972",true,"2023-08-10T10:34:29.496Z","+17432127529"
"Jordan_Slater_121@dsfclimatecool.com","Xb49LTes","Jordan Slater","MENS","07/04/1979",true,"2023-08-10T10:34:33.018Z","+12068287517"
"Elsie_Fei_631@dsfclimatecool.com","Zx4CBBB6","Elsie Fei","MENS","11/07/1974",true,"2023-08-10T10:35:20.594Z","+12202707983"
"Isabel_Atkins_241@dsfclimatecool.com","Rz4UkT3B","Isabel Atkins","MENS","15/06/1983",true,"2023-08-10T11:28:16.593Z","+13235034031"
"Jonathan_Giannetti_392@dsfclimatecool.com","Ao5Zu1Id","Jonathan Giannetti","MENS","01/01/1985",true,"2023-08-10T11:39:19.553Z","+16804770155"
"Craig_Soto_932@dsfclimatecool.com","Zy5PvItz","Craig Soto","MENS","05/05/1973",true,"2023-08-10T11:50:42.696Z","+17252391934"
"Luis_Toccafondi_310@dsfclimatecool.com","Fz9ZvDW3","Luis Toccafondi","MENS","16/07/1993",true,"2023-08-10T12:00:00.073Z","+15807584684"
"Alan_Miah_021@dsfclimatecool.com","Oh0uYk32","Alan Miah","MENS","17/01/1979",true,"2023-08-10T12:00:06.778Z","+18149974821"
"Madge_Valenti_641@dsfclimatecool.com","Nu39dMmO","Madge Valenti","MENS","18/06/1952",true,"2023-08-10T12:00:12.084Z","+17404025525"
"Jordan_Bond_109@dsfclimatecool.com","Ih40RpUM","Jordan Bond","MENS","26/07/1963",true,"2023-08-10T12:00:13.467Z","+12202076379"
"Bernice_Dumont_921@dsfclimatecool.com","Tc7Grl1M","Bernice Dumont","MENS","27/01/1988",true,"2023-08-10T12:00:13.756Z","+12096741593"
"Sean_Silvestri_586@dsfclimatecool.com","Qz8brNpY","Sean Silvestri","MENS","28/02/1979",true,"2023-08-10T12:06:33.939Z","+17627785156"
"Marcus_Bryant_849@dsfclimatecool.com","Xp9GTPUx","Marcus Bryant","MENS","26/06/1951",true,"2023-08-10T12:06:38.111Z","+13526525133"
"Floyd_Bertini_881@dsfclimatecool.com","Bv6UHoqD","Floyd Bertini","MENS","20/08/1968",true,"2023-08-10T12:07:20.360Z","+14238409997"
"Ricardo_Parri_512@dsfclimatecool.com","Zf9Lo855","Ricardo Parri","MENS","24/10/2002",true,"2023-08-10T12:07:35.521Z","+16209031462"
"Derek_Colon_705@dsfclimatecool.com","Ey3BVa2m","Derek Colon","MENS","25/12/1999",true,"2023-08-10T12:14:10.400Z","+19037516019"
"Manuel_Bridges_477@dsfclimatecool.com","Ha4HHr3N","Manuel Bridges","MENS","28/05/1984",true,"2023-08-10T12:14:27.581Z","+12313008188"
"Don_Schwarz_694@dsfclimatecool.com","Qh9FuBca","Don Schwarz","MENS","08/07/1971",true,"2023-08-10T12:14:32.835Z","+17194163665"
"Eugene_Robert_162@dsfclimatecool.com","Wz5YYw7Q","Eugene Robert","MENS","21/06/2001",true,"2023-08-10T12:15:45.706Z","+12314435476"
"Christina_Griffin_740@dsfclimatecool.com","Eo9Eq8cs","Christina Griffin","MENS","02/09/1955",true,"2023-08-10T12:22:37.343Z","+19516165933"
"Rose_Fournier_303@dsfclimatecool.com","Fu4JvNxb","Rose Fournier","MENS","03/03/1987",true,"2023-08-10T12:22:39.293Z","+15598514960"
"Andrew_Bolton_661@dsfclimatecool.com","Oy2H2Go6","Andrew Bolton","MENS","07/07/1986",true,"2023-08-10T12:22:40.635Z","+13027860324"
"Nathan_Fagioli_664@dsfclimatecool.com","Wc2FEeI2","Nathan Fagioli","MENS","15/08/1963",true,"2023-08-10T13:24:32.247Z","+18056654271"
"Marion_Pace_360@dsfclimatecool.com","Zb8hcbQT","Marion Pace","MENS","31/10/1950",true,"2023-08-10T13:24:33.676Z","+12095056946"
"Blake_Coleman_149@dsfclimatecool.com","Yt0QxOdj","Blake Coleman","MENS","21/05/1961",true,"2023-08-10T13:24:47.429Z","+17374977392"
"Bernard_Colon_924@dsfclimatecool.com","Uu07jSeO","Bernard Colon","MENS","03/01/1999",true,"2023-08-10T13:24:53.273Z","+17433934567"
"Estella_Simons_299@dsfclimatecool.com","So7PEC1G","Estella Simons","MENS","15/09/1979",true,"2023-08-10T13:25:32.413Z","+17853016575"
"Lulu_Sguanci_933@dsfclimatecool.com","Hl83rLQL","Lulu Sguanci","MENS","30/04/1980",true,"2023-08-10T13:29:52.784Z","+18483287403"
"Alta_Lenzi_554@dsfclimatecool.com","Gv8CMsF0","Alta Lenzi","MENS","23/09/1996",true,"2023-08-10T14:08:31.180Z",
"Stanley_Sguanci_602@dsfclimatecool.com","Xl77nQMP","Stanley Sguanci","MENS","13/09/1967",true,"2023-08-10T14:08:37.106Z",
"Anthony_Mitchell_502@dsfclimatecool.com","Jc4DfXwU","Anthony Mitchell","MENS","29/07/1994",true,"2023-08-10T14:13:12.414Z","+15862500436"
"Harvey_Nencetti_677@dsfclimatecool.com","Gv7pXYp9","Harvey Nencetti","MENS","17/12/2002",true,"2023-08-10T14:13:12.662Z","+17247558403"
"Hunter_Watson_435@dsfclimatecool.com","Nj9OcVMZ","Hunter Watson","MENS","08/06/2001",true,"2023-08-10T14:20:30.399Z","+14256065117"
"Logan_Prosperi_062@dsfclimatecool.com","Gw3WLrNi","Logan Prosperi","MENS","24/02/2002",true,"2023-08-10T14:20:30.622Z","+16612102095"
"Beulah_Atkins_759@dsfclimatecool.com","Pt3PLFT6","Beulah Atkins","MENS","31/10/1990",true,"2023-08-10T14:22:05.205Z","+16693097892"
"Edgar_Bass_111@dsfclimatecool.com","Jy3GDMvE","Edgar Bass","MENS","02/03/1989",true,"2023-08-10T14:29:32.442Z","+12174878806"
"Jason_Rigacci_763@dsfclimatecool.com","Rr9aUyYY","Jason Rigacci","MENS","27/03/1988",true,"2023-08-10T14:29:37.114Z","+13152890674"
"Stanley_Braschi_695@dsfclimatecool.com","Zh74n6hl","Stanley Braschi","MENS","25/02/2000",true,"2023-08-10T14:29:37.183Z","+16065171191"
"Micheal_Morandi_350@dsfclimatecool.com","Rf7XHyiI","Micheal Morandi","MENS","09/02/2001",true,"2023-08-10T14:40:51.037Z","+15189014399"
"Fred_Giannotti_079@dsfclimatecool.com","Fc13uIKi","Fred Giannotti","MENS","18/04/1992",true,"2023-08-10T14:40:51.954Z","+13232304229"
"Paul_Cencetti_425@dsfclimatecool.com","Rg1HdXct","Paul Cencetti","MENS","03/07/1990",true,"2023-08-10T14:44:41.799Z","+12513608517"
"Stella_Dini_618@dsfclimatecool.com","Xd6b64Wx","Stella Dini","MENS","16/07/2002",true,"2023-08-10T14:44:43.577Z","+18703605879"
"Theresa_Webb_790@dsfclimatecool.com","Ja0v9vzr","Theresa Webb","MENS","05/12/1987",true,"2023-08-10T14:53:32.115Z","+12313229224"
"Amy_Romano_436@dsfclimatecool.com","Bj1Enx4b","Amy Romano","MENS","16/07/1986",true,"2023-08-10T14:53:32.442Z","+17208561178"
"Gertrude_Prosperi_074@dsfclimatecool.com","Op6BinU6","Gertrude Prosperi","MENS","18/03/1986",true,"2023-08-10T14:53:34.944Z","+14328278014"
"Ethan_Andres_368@dsfclimatecool.com","Zq05VpEH","Ethan Andres","MENS","22/05/1992",true,"2023-08-10T14:59:26.259Z","+17792459468"
"Lena_Delaunay_541@dsfclimatecool.com","Ol0fviHh","Lena Delaunay","MENS","11/07/1999",true,"2023-08-10T14:59:26.491Z","+18062090194"
"Victoria_Pucci_206@dsfclimatecool.com","Gc85zQlN","Victoria Pucci","MENS","09/01/2000",true,"2023-08-10T14:59:26.544Z","+16612474502"
"Donald_Schaap_306@dsfclimatecool.com","Sw6BRM3t","Donald Schaap","MENS","21/01/2002",true,"2023-08-10T14:59:31.508Z","+18782598019"
"Bertie_Dallai_910@dsfclimatecool.com","Zr1eNYnB","Bertie Dallai","MENS","30/09/1996",true,"2023-08-10T15:06:25.999Z","+12098962318"
"Alice_Frost_945@dsfclimatecool.com","Cw1mZi6N","Alice Frost","MENS","09/12/1995",true,"2023-08-10T15:06:26.615Z","+19302104284"
"Tony_Iwasaki_824@dsfclimatecool.com","Uv2my2w4","Tony Iwasaki","MENS","19/07/1989",true,"2023-08-10T15:06:28.461Z","+17374977114"
"Genevieve_Dawson_020@dsfclimatecool.com","Yo7FMKrQ","Genevieve Dawson","MENS","06/03/1998",true,"2023-08-10T15:06:34.126Z","+16207143794"
"Alma_Martelli_200@dsfclimatecool.com","Sd22YERT","Alma Martelli","MENS","01/01/2000",true,"2023-08-10T15:07:05.529Z","+14482229434"
"Daisy_Cunningham_504@dsfclimatecool.com","Jx90ufED","Daisy Cunningham","MENS","15/04/1989",true,"2023-08-10T15:12:20.835Z","+16077061216"
"Billy_Tamura_304@dsfclimatecool.com","Re99bvcz","Billy Tamura","MENS","02/05/2001",true,"2023-08-10T15:12:25.324Z","+13024656878"
"Nelle_Ciatti_937@dsfclimatecool.com","Qk1g9xLW","Nelle Ciatti","MENS","06/06/1996",true,"2023-08-10T15:12:25.609Z","+18709125454"
"Rhoda_Fisher_579@dsfclimatecool.com","Kz2nr8BE","Rhoda Fisher","MENS","18/01/1987",true,"2023-08-10T15:13:36.448Z","+17477174641"
"Raymond_Francis_870@dsfclimatecool.com","Su73trsy","Raymond Francis","MENS","18/08/1986",true,"2023-08-10T15:13:37.316Z","+15043991775"
"Jessie_Becker_411@dsfclimatecool.com","Yi2MwDJO","Jessie Becker","MENS","13/10/1996",true,"2023-08-11T14:04:51.965Z","+17733940169"
"Landon_Rocchi_189@dsfclimatecool.com","Oo8GHA3h","Landon Rocchi","MENS","15/01/1989",true,"2023-08-11T14:11:40.449Z","+19084738730"
"Roy_Hyde_497@dsfclimatecool.com","Jt7eG5SM","Roy Hyde","MENS","05/10/1999",true,"2023-08-11T14:13:15.249Z","+19295939874"
"Gordon_Kennedy_605@dsfclimatecool.com","Os9hqGh1","Gordon Kennedy","MENS","22/04/1989",true,"2023-08-11T14:28:03.816Z","+16596588710"
"Emily_Franke_450@dsfclimatecool.com","Vx1mxEOf","Emily Franke","MENS","01/11/1985",true,"2023-08-11T14:30:27.352Z","+17193619664"
"Marvin_Rees_031@dsfclimatecool.com","Bt1JQJO6","Marvin Rees","MENS","28/01/1991",true,"2023-08-11T14:38:45.540Z","+17163499121"
"Troy_Becker_313@dsfclimatecool.com","Eh2pvX3D","Troy Becker","MENS","21/11/1996",true,"2023-08-11T14:38:46.036Z","+14849488209"
"Seth_vanDongen_695@dsfclimatecool.com","Cs5WQwWI","Seth van Dongen","MENS","15/12/1999",true,"2023-08-11T14:38:48.790Z","+17692503700"
"Ruth_Schut_014@dsfclimatecool.com","Xb09jcdU","Ruth Schut","MENS","31/03/1999",true,"2023-08-11T14:58:41.270Z","+19716342842"
"Lester_Dennis_402@dsfclimatecool.com","Ky9IghDf","Lester Dennis","MENS","06/03/2000",true,"2023-08-11T14:58:42.369Z","+13526569955"
"Elnora_Morini_918@dsfclimatecool.com","Me5vHHeF","Elnora Morini","MENS","29/08/2001",true,"2023-08-11T14:58:42.596Z","+13855660482"
"Edwin_Roger_997@dsfclimatecool.com","Sh1wMsAd","Edwin Roger","MENS","31/10/1995",true,"2023-08-11T15:11:09.011Z","+15513104015"
"Lawrence_Bassi_918@dsfclimatecool.com","Ak5wJTxx","Lawrence Bassi","MENS","24/05/1990",true,"2023-08-11T15:11:15.909Z","+17252696717"
"Theresa_Ferri_785@dsfclimatecool.com","Qx08ST6b","Theresa Ferri","MENS","17/05/1994",true,"2023-08-11T15:11:16.103Z","+13044157246"
"Elva_Rice_603@dsfclimatecool.com","Pv9ph596","Elva Rice","MENS","04/06/1989",true,"2023-08-11T15:16:08.609Z","+16075483801"
"Mable_McLaughlin_920@dsfclimatecool.com","Tf3uSaAN","Mable McLaughlin","MENS","02/11/2001",true,"2023-08-11T15:16:54.566Z","+19099613180"
"Ollie_Gallo_544@dsfclimatecool.com","Df7CA20G","Ollie Gallo","MENS","13/03/1987",true,"2023-08-11T15:16:56.665Z","+14016189625"
"Jennie_Chan_439@dsfclimatecool.com","Pe6VXPJM","Jennie Chan","MENS","28/07/1987",true,"2023-08-11T15:18:14.507Z","+18397776697"
"Billy_Dean_187@dsfclimatecool.com","Ww2XzUBO","Billy Dean","MENS","09/07/1985",true,"2023-08-11T15:23:50.250Z","+17135649693"
"Max_Snel_970@dsfclimatecool.com","Qx3tK3qA","Max Snel","MENS","29/06/1995",true,"2023-08-11T15:23:52.094Z","+15617051252"
"Warren_Ferraro_235@dsfclimatecool.com","Cp4TxTgY","Warren Ferraro","MENS","13/02/1987",true,"2023-08-11T15:26:03.402Z","+12314556793"
